Dataset,Panel,Sampling seed,Original features,Alternative features,Accuracy,Macro-F1,Positive F1,Delta Macro-F1 vs original,Feature ids
SMS Spam,1,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
Disaster Tweets,3,2029,11,9,0.7990,0.7916,0.7522,-0.0158,original:mentions_time_or_recency; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33
Disaster Tweets,4,2029,9,11,0.8260,0.8170,0.7763,+0.0096,original:mentions_disaster_type; original:reports_event_occurrence; original:mentions_location; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_infrastructure_disruption; original:mentions_evacuation_or_shelter; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c33; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,5,2029,11,9,0.8210,0.8105,0.7660,+0.0032,original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_location; original:includes_source_or_report; original:first_person_witnessing; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:mentions_rescue_or_emergency_services; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c19; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,6,2029,11,9,0.8290,0.8215,0.7849,+0.0142,original:mentions_disaster_type; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_scale_or_intensity; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c11; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27
Disaster Tweets,7,2029,11,9,0.8230,0.8134,0.7710,+0.0060,original:reports_event_occurrence; original:mentions_cause_or_trigger; original:mentions_location; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_scale_or_intensity; original:mentions_evacuation_or_shelter; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c33
Disaster Tweets,8,2029,9,11,0.8240,0.8145,0.7726,+0.0072,original:reports_event_occurrence; original:mentions_time_or_recency; original:first_person_witnessing; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_evacuation_or_shelter; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c27; alternative:disaster_alt_c28
Disaster Tweets,9,2029,7,13,0.8250,0.8150,0.7718,+0.0076,original:reports_event_occurrence; original:mentions_cause_or_trigger; original:first_person_witnessing; original:mentions_property_damage; original:mentions_scale_or_intensity; original:gives_safety_instruction; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c19; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c34; alternative:disaster_alt_c38
Disaster Tweets,10,2029,12,8,0.8250,0.8165,0.7771,+0.0092,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:calls_for_help; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c28
Disaster Tweets,11,2029,10,10,0.8330,0.8254,0.7889,+0.0180,original:mentions_location; original:mentions_time_or_recency; original:mentions_casualties_or_injuries; original:calls_for_help; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c28; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,12,2029,13,7,0.8330,0.8252,0.7883,+0.0179,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_location; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_property_damage; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c17; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c35
Disaster Tweets,13,2029,8,12,0.8260,0.8175,0.7781,+0.0101,original:describes_threat_or_danger; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c11; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c34; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,14,2029,9,11,0.8150,0.8070,0.7679,-0.0003,original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:calls_for_help; original:mentions_rescue_or_emergency_services; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c17; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c33; alternative:disaster_alt_c35
Disaster Tweets,15,2029,11,9,0.8330,0.8247,0.7867,+0.0174,original:mentions_disaster_type; original:reports_event_occurrence; original:mentions_location; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c07; alternative:disaster_alt_c17; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c35
Disaster Tweets,16,2029,8,12,0.8300,0.8215,0.7826,+0.0142,original:reports_event_occurrence; original:includes_source_or_report; original:first_person_witnessing; original:mentions_infrastructure_disruption; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:refers_to_entertainment_or_sports; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c28; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,17,2029,10,10,0.8160,0.8059,0.7617,-0.0014,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_time_or_recency; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,18,2029,12,8,0.7990,0.7929,0.7575,-0.0144,original:describes_threat_or_danger; original:mentions_location; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c28; alternative:disaster_alt_c38
Disaster Tweets,19,2029,8,12,0.8180,0.8107,0.7736,+0.0034,original:mentions_cause_or_trigger; original:mentions_location; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:refers_to_entertainment_or_sports; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,20,2029,12,8,0.8300,0.8215,0.7826,+0.0142,original:mentions_disaster_type; original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_location; original:mentions_time_or_recency; original:first_person_witnessing; original:mentions_infrastructure_disruption; original:calls_for_help; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c11; alternative:disaster_alt_c18; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c35
Disaster Tweets,21,2029,7,13,0.8270,0.8183,0.7785,+0.0109,original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_location; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:calls_for_help; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c33; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,22,2029,10,10,0.8290,0.8205,0.7816,+0.0132,original:mentions_disaster_type; original:reports_event_occurrence; original:mentions_cause_or_trigger; original:mentions_location; original:mentions_time_or_recency; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_rescue_or_emergency_services; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c10; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c38
Disaster Tweets,23,2029,12,8,0.8170,0.8076,0.7651,+0.0003,original:mentions_disaster_type; original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:includes_source_or_report; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:gives_safety_instruction; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c09; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c25; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,24,2029,11,9,0.8190,0.8109,0.7718,+0.0036,original:mentions_cause_or_trigger; original:mentions_location; original:mentions_time_or_recency; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c02; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c35
Disaster Tweets,25,2029,8,12,0.8250,0.8167,0.7776,+0.0093,original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,26,2029,10,10,0.8270,0.8186,0.7796,+0.0113,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_location; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c17; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c38
Disaster Tweets,27,2029,7,13,0.8320,0.8241,0.7868,+0.0168,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:mentions_evacuation_or_shelter; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c19; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,28,2029,15,5,0.8130,0.8025,0.7568,-0.0049,original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_time_or_recency; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c09; alternative:disaster_alt_c17; alternative:disaster_alt_c28; alternative:disaster_alt_c34
Disaster Tweets,29,2029,11,9,0.8350,0.8267,0.7887,+0.0193,original:mentions_disaster_type; original:reports_event_occurrence; original:mentions_location; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c12; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c34; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,30,2029,8,12,0.8100,0.8027,0.7649,-0.0046,original:mentions_cause_or_trigger; original:mentions_time_or_recency; original:first_person_witnessing; original:mentions_property_damage; original:mentions_scale_or_intensity; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c38
Disaster Tweets,31,2029,11,9,0.8200,0.8112,0.7704,+0.0038,original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_location; original:mentions_property_damage; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c27; alternative:disaster_alt_c33
Disaster Tweets,32,2029,9,11,0.8200,0.8098,0.7656,+0.0024,original:reports_event_occurrence; original:describes_threat_or_danger; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:mentions_rescue_or_emergency_services; original:gives_safety_instruction; original:uses_metaphor_or_idiom; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c11; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,33,2029,11,9,0.8290,0.8215,0.7849,+0.0142,original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_location; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:refers_to_entertainment_or_sports; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c35
Disaster Tweets,34,2029,9,11,0.8180,0.8104,0.7725,+0.0031,original:mentions_disaster_type; original:describes_threat_or_danger; original:includes_source_or_report; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_scale_or_intensity; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c38
Disaster Tweets,35,2029,8,12,0.8160,0.8059,0.7617,-0.0014,original:reports_event_occurrence; original:first_person_witnessing; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:calls_for_help; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c34; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,36,2029,5,15,0.8210,0.8130,0.7743,+0.0056,original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_scale_or_intensity; original:uses_metaphor_or_idiom; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c33; alternative:disaster_alt_c34
Disaster Tweets,37,2029,9,11,0.8310,0.8230,0.7853,+0.0156,original:mentions_disaster_type; original:mentions_location; original:first_person_witnessing; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c19; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c38
Disaster Tweets,38,2029,8,12,0.8270,0.8194,0.7824,+0.0121,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_property_damage; original:mentions_infrastructure_disruption; original:mentions_scale_or_intensity; original:expresses_joke_or_sarcasm; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c09; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c35
Disaster Tweets,39,2029,13,7,0.8080,0.8019,0.7670,-0.0055,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:mentions_location; original:first_person_witnessing; original:mentions_property_damage; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:gives_safety_instruction; original:uses_metaphor_or_idiom; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c10; alternative:disaster_alt_c17; alternative:disaster_alt_c25; alternative:disaster_alt_c26; alternative:disaster_alt_c33; alternative:disaster_alt_c34
Disaster Tweets,40,2029,7,13,0.8180,0.8103,0.7719,+0.0029,original:describes_threat_or_danger; original:mentions_cause_or_trigger; original:includes_source_or_report; original:mentions_property_damage; original:mentions_scale_or_intensity; original:gives_safety_instruction; original:uses_metaphor_or_idiom; alternative:disaster_alt_c06; alternative:disaster_alt_c07; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c34; alternative:disaster_alt_c38
Disaster Tweets,41,2029,8,12,0.8150,0.8059,0.7637,-0.0015,original:reports_event_occurrence; original:describes_threat_or_danger; original:mentions_location; original:mentions_time_or_recency; original:mentions_scale_or_intensity; original:calls_for_help; original:expresses_joke_or_sarcasm; original:discusses_non_event_context; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c28; alternative:disaster_alt_c33; alternative:disaster_alt_c34
Disaster Tweets,42,2029,9,11,0.8250,0.8167,0.7776,+0.0093,original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; original:discusses_non_event_context; alternative:disaster_alt_c02; alternative:disaster_alt_c04; alternative:disaster_alt_c06; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c19; alternative:disaster_alt_c25; alternative:disaster_alt_c27; alternative:disaster_alt_c34; alternative:disaster_alt_c35
Disaster Tweets,43,2029,11,9,0.8290,0.8218,0.7860,+0.0145,original:mentions_disaster_type; original:describes_threat_or_danger; original:mentions_location; original:mentions_time_or_recency; original:first_person_witnessing; original:mentions_casualties_or_injuries; original:mentions_scale_or_intensity; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c02; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c21; alternative:disaster_alt_c25; alternative:disaster_alt_c27; alternative:disaster_alt_c28
Disaster Tweets,44,2029,10,10,0.8140,0.8069,0.7698,-0.0005,original:describes_threat_or_danger; original:mentions_location; original:mentions_time_or_recency; original:mentions_casualties_or_injuries; original:mentions_property_damage; original:calls_for_help; original:mentions_rescue_or_emergency_services; original:mentions_evacuation_or_shelter; original:uses_metaphor_or_idiom; original:discusses_non_event_context; alternative:disaster_alt_c06; alternative:disaster_alt_c09; alternative:disaster_alt_c10; alternative:disaster_alt_c12; alternative:disaster_alt_c18; alternative:disaster_alt_c25; alternative:disaster_alt_c28; alternative:disaster_alt_c34; alternative:disaster_alt_c35; alternative:disaster_alt_c38
Disaster Tweets,45,2029,7,13,0.8120,0.8033,0.7620,-0.0040,original:mentions_disaster_type; original:mentions_time_or_recency; original:includes_source_or_report; original:mentions_casualties_or_injuries; original:mentions_infrastructure_disruption; original:uses_metaphor_or_idiom; original:refers_to_entertainment_or_sports; alternative:disaster_alt_c04; alternative:disaster_alt_c07; alternative:disaster_alt_c10; alternative:disaster_alt_c11; alternative:disaster_alt_c12; alternative:disaster_alt_c17; alternative:disaster_alt_c18; alternative:disaster_alt_c19; alternative:disaster_alt_c26; alternative:disaster_alt_c27; alternative:disaster_alt_c28; alternative:disaster_alt_c34; alternative:disaster_alt_c38
